planet,method,year,number,radius,mass,facility
Kepler-1363 b,Transit,2016,1,1.25,NA,Kepler
Kepler-1364 b,Transit,2016,1,2.15,NA,Kepler
Kepler-1365 b,Transit,2016,2,0.92,NA,Kepler
Kepler-1365 c,Transit,2016,2,0.8,NA,Kepler
Kepler-1366 b,Transit,2016,1,1.43,NA,Kepler
Kepler-1367 b,Transit,2016,1,0.92,NA,Kepler
Kepler-1368 b,Transit,2016,1,1.65,NA,Kepler
Kepler-1369 b,Transit,2016,1,2.69,NA,Kepler
Kepler-137 b,Transit,2014,2,1.47,NA,Kepler
Kepler-137 c,Transit,2014,2,1.88,NA,Kepler
Kepler-1370 b,Transit,2016,2,1.84,NA,Kepler
Kepler-1370 c,Transit,2016,2,1.27,NA,Kepler
Kepler-1371 b,Transit,2016,2,0.73,NA,Kepler
Kepler-1371 c,Transit,2016,2,0.64,NA,Kepler
Kepler-1372 b,Transit,2016,1,1.27,NA,Kepler
Kepler-1373 b,Transit,2016,1,1.16,NA,Kepler
Kepler-1374 b,Transit,2016,1,2.29,NA,Kepler
Kepler-1375 b,Transit,2016,1,1.74,NA,Kepler
Kepler-1376 b,Transit,2016,1,1.05,NA,Kepler
Kepler-1377 b,Transit,2016,1,1.25,NA,Kepler
Kepler-1378 b,Transit,2016,1,2.2,NA,Kepler
Kepler-1379 b,Transit,2016,1,1.3,NA,Kepler
Kepler-138 b,Transit,2014,3,0.522,0.066,Kepler
Kepler-138 c,Transit,2014,3,1.197,1.97,Kepler
Kepler-138 d,Transit,2014,3,1.212,0.64,Kepler
Kepler-1380 b,Transit,2016,1,1.43,NA,Kepler
Kepler-1381 b,Transit,2016,1,2.25,NA,Kepler
Kepler-1382 b,Transit,2016,1,1.88,NA,Kepler
Kepler-1383 b,Transit,2016,1,1.41,NA,Kepler
Kepler-1384 b,Transit,2016,1,1.94,NA,Kepler
Kepler-1385 b,Transit,2016,1,0.85,NA,Kepler
Kepler-1386 b,Transit,2016,1,1.24,NA,Kepler
Kepler-1387 b,Transit,2016,1,0.93,NA,Kepler
Kepler-1388 b,Transit,2016,4,2.59,NA,Kepler
Kepler-1388 c,Transit,2016,4,2.26,NA,Kepler
Kepler-1388 d,Transit,2016,4,2.86,NA,Kepler
Kepler-1388 e,Transit,2016,4,2.46,NA,Kepler
Kepler-1389 b,Transit,2016,1,1.77,NA,Kepler
Kepler-139 b,Transit,2014,2,2.94,NA,Kepler
Kepler-139 c,Transit,2014,2,3.38,NA,Kepler
Kepler-1390 b,Transit,2016,1,1.18,NA,Kepler
Kepler-1391 b,Transit,2016,1,1.68,NA,Kepler
Kepler-1392 b,Transit,2016,1,1.96,NA,Kepler
Kepler-1393 b,Transit,2016,1,0.8,NA,Kepler
Kepler-1394 b,Transit,2016,1,1.39,NA,Kepler
Kepler-1395 b,Transit,2016,1,0.8,NA,Kepler
Kepler-1396 b,Transit,2016,1,2.07,NA,Kepler
Kepler-1397 b,Transit,2016,1,1.72,NA,Kepler
Kepler-1398 b,Transit,2016,2,0.9,NA,Kepler
Kepler-1398 c,Transit,2016,2,1.03,NA,Kepler
Kepler-1399 b,Transit,2016,1,1.25,NA,Kepler
Kepler-14 b,Transit,2011,1,12.733,2669.66,Kepler
Kepler-140 b,Transit,2014,2,1.61,NA,Kepler
Kepler-140 c,Transit,2014,2,1.8,NA,Kepler
Kepler-1400 b,Transit,2016,1,1.62,NA,Kepler
Kepler-1401 b,Transit,2016,1,1.68,NA,Kepler
Kepler-1402 b,Transit,2016,1,0.76,NA,Kepler
Kepler-1403 b,Transit,2016,1,2.14,NA,Kepler
Kepler-1404 b,Transit,2016,1,2.01,NA,Kepler
Kepler-1405 b,Transit,2016,1,3.96,NA,Kepler
Kepler-1406 b,Transit,2016,1,1.1,NA,Kepler
Kepler-1407 b,Transit,2016,1,2.25,NA,Kepler
Kepler-1408 b,Transit,2016,1,0.89,NA,Kepler
Kepler-1409 b,Transit,2016,1,1.04,NA,Kepler
Kepler-141 b,Transit,2014,2,0.69,NA,Kepler
Kepler-141 c,Transit,2014,2,1.41,NA,Kepler
Kepler-1410 b,Transit,2016,1,1.78,NA,Kepler
Kepler-1411 b,Transit,2016,1,2.82,NA,Kepler
Kepler-1412 b,Transit,2016,1,0.83,NA,Kepler
Kepler-1413 b,Transit,2016,1,1.82,NA,Kepler
Kepler-1414 b,Transit,2016,1,1.23,NA,Kepler
Kepler-1415 b,Transit,2016,1,1.29,NA,Kepler
Kepler-1416 b,Transit,2016,1,0.88,NA,Kepler
Kepler-1417 b,Transit,2016,1,1,NA,Kepler
Kepler-1418 b,Transit,2016,1,1.66,NA,Kepler
Kepler-1419 b,Transit,2016,1,2.86,NA,Kepler
Kepler-142 b,Transit,2014,3,1.99,NA,Kepler
Kepler-142 c,Transit,2014,3,2.86,NA,Kepler
Kepler-142 d,Transit,2014,3,2.16,NA,Kepler
Kepler-1420 b,Transit,2016,1,1.28,NA,Kepler
Kepler-1421 b,Transit,2016,1,0.93,NA,Kepler
Kepler-1422 b,Transit,2016,1,2.02,NA,Kepler
Kepler-1423 b,Transit,2016,1,1.06,NA,Kepler
Kepler-1424 b,Transit,2016,1,1.16,NA,Kepler
Kepler-1425 b,Transit,2016,1,0.94,NA,Kepler
Kepler-1426 b,Transit,2016,1,1.56,NA,Kepler
Kepler-1427 b,Transit,2016,1,1.1,NA,Kepler
Kepler-1428 b,Transit,2016,1,1.64,NA,Kepler
Kepler-1429 b,Transit,2016,1,1.29,NA,Kepler
Kepler-143 b,Transit,2014,2,2.41,NA,Kepler
Kepler-143 c,Transit,2014,2,3.37,NA,Kepler
Kepler-1430 b,Transit,2016,1,1.18,NA,Kepler
Kepler-1431 b,Transit,2016,1,1.47,NA,Kepler
Kepler-1432 b,Transit,2016,1,2.22,NA,Kepler
Kepler-1433 b,Transit,2016,1,1.56,NA,Kepler
Kepler-1434 b,Transit,2016,1,1.11,NA,Kepler
Kepler-1435 b,Transit,2016,1,0.86,NA,Kepler
Kepler-1436 b,Transit,2016,1,1.31,NA,Kepler
Kepler-1437 b,Transit,2016,1,1.37,NA,Kepler
Kepler-1438 b,Transit,2016,1,0.94,NA,Kepler
Kepler-1439 b,Transit,2016,1,1.46,NA,Kepler
Kepler-144 b,Transit,2014,2,1.33,NA,Kepler
Kepler-144 c,Transit,2014,2,1.35,NA,Kepler
Kepler-1440 b,Transit,2016,1,1.26,NA,Kepler
Kepler-1441 b,Transit,2016,1,1.31,NA,Kepler
Kepler-1442 b,Transit,2016,1,3.93,NA,Kepler
Kepler-1443 b,Transit,2016,1,0.97,NA,Kepler
Kepler-1444 b,Transit,2016,1,2.18,NA,Kepler
Kepler-1445 b,Transit,2016,1,0.96,NA,Kepler
Kepler-1446 b,Transit,2016,1,0.82,NA,Kepler
Kepler-1447 b,Transit,2016,1,2.9,NA,Kepler
Kepler-1448 b,Transit,2016,1,1.61,NA,Kepler
Kepler-1449 b,Transit,2016,1,1.68,NA,Kepler
Kepler-145 b,Transit,2013,2,2.65,37.1,Kepler
Kepler-145 c,Transit,2013,2,4.32,79.4,Kepler
Kepler-1450 b,Transit,2016,1,1.71,NA,Kepler
Kepler-1451 b,Transit,2016,1,3.35,NA,Kepler
Kepler-1452 b,Transit,2016,1,2.7,NA,Kepler
Kepler-1453 b,Transit,2016,1,2.67,NA,Kepler
Kepler-1454 b,Transit,2016,1,1.88,NA,Kepler
Kepler-1455 b,Transit,2016,1,2.16,NA,Kepler
Kepler-1456 b,Transit,2016,1,1.14,NA,Kepler
Kepler-1457 b,Transit,2016,1,1.99,NA,Kepler
Kepler-1458 b,Transit,2016,1,2.76,NA,Kepler
Kepler-1459 b,Transit,2016,1,1.36,NA,Kepler
Kepler-146 b,Transit,2014,2,3.71,NA,Kepler
Kepler-146 c,Transit,2014,2,3.13,NA,Kepler
Kepler-1460 b,Transit,2016,1,1.96,NA,Kepler
Kepler-1461 b,Transit,2016,1,2.03,NA,Kepler
Kepler-1462 b,Transit,2016,1,3.82,NA,Kepler
Kepler-1463 b,Transit,2016,1,1.86,NA,Kepler
Kepler-1464 b,Transit,2016,2,1.66,NA,Kepler
Kepler-1464 c,Transit,2016,2,1,NA,Kepler
Kepler-1465 b,Transit,2016,1,1.77,NA,Kepler
Kepler-1466 b,Transit,2016,1,1.55,NA,Kepler
Kepler-1467 b,Transit,2016,1,3.3,NA,Kepler
Kepler-1468 b,Transit,2016,2,1.73,NA,Kepler
Kepler-1468 c,Transit,2016,2,1.15,NA,Kepler
Kepler-1469 b,Transit,2016,1,2.8,NA,Kepler
Kepler-147 b,Transit,2014,2,1.53,NA,Kepler
Kepler-147 c,Transit,2014,2,2.43,NA,Kepler
Kepler-1470 b,Transit,2016,1,1.07,NA,Kepler
Kepler-1471 b,Transit,2016,1,1.41,NA,Kepler
Kepler-1472 b,Transit,2016,1,1.9,NA,Kepler
Kepler-1473 b,Transit,2016,1,1.19,NA,Kepler
Kepler-1474 b,Transit,2016,1,2.16,NA,Kepler
Kepler-1475 b,Transit,2016,1,2.92,NA,Kepler
Kepler-1476 b,Transit,2016,1,1.67,NA,Kepler
Kepler-1477 b,Transit,2016,1,1.18,NA,Kepler
Kepler-1478 b,Transit,2016,1,1.73,NA,Kepler
Kepler-1479 b,Transit,2016,1,1.83,NA,Kepler
Kepler-148 b,Transit,2014,3,1.8,NA,Kepler
Kepler-148 c,Transit,2014,3,3.6,NA,Kepler
Kepler-148 d,Transit,2016,3,8.68,NA,Kepler
Kepler-1480 b,Transit,2016,1,1.67,NA,Kepler
Kepler-1481 b,Transit,2016,1,1.23,NA,Kepler
Kepler-1482 b,Transit,2016,1,1.01,NA,Kepler
Kepler-1483 b,Transit,2016,1,1.52,NA,Kepler
Kepler-1484 b,Transit,2016,1,2.11,NA,Kepler
Kepler-1485 b,Transit,2016,1,1.47,NA,Kepler
Kepler-1486 b,Transit,2016,1,2.32,NA,Kepler
Kepler-1487 b,Transit,2016,1,2.13,NA,Kepler
Kepler-1488 b,Transit,2016,1,1.86,NA,Kepler
Kepler-1489 b,Transit,2016,1,1.77,NA,Kepler
Kepler-149 b,Transit,2014,3,4.21,NA,Kepler
Kepler-149 c,Transit,2014,3,1.61,NA,Kepler
Kepler-149 d,Transit,2014,3,3.96,NA,Kepler
Kepler-1490 b,Transit,2016,1,3.04,NA,Kepler
Kepler-1491 b,Transit,2016,1,1.51,NA,Kepler
Kepler-1492 b,Transit,2016,1,1.49,NA,Kepler
Kepler-1493 b,Transit,2016,1,1.41,NA,Kepler
Kepler-1494 b,Transit,2016,1,3.07,NA,Kepler
Kepler-1495 b,Transit,2016,1,2.94,NA,Kepler
Kepler-1496 b,Transit,2016,1,2.22,NA,Kepler
Kepler-1497 b,Transit,2016,1,1.66,NA,Kepler
Kepler-1498 b,Transit,2016,1,1.33,NA,Kepler
Kepler-1499 b,Transit,2016,1,1.19,NA,Kepler
Kepler-15 b,Transit,2011,1,10.76,209.76,Kepler
Kepler-150 b,Transit,2014,5,1.25,NA,Kepler
Kepler-150 c,Transit,2014,5,3.69,NA,Kepler
Kepler-150 d,Transit,2014,5,2.79,NA,Kepler
Kepler-150 e,Transit,2014,5,3.12,NA,Kepler
Kepler-150 f,Transit,2017,5,3.64,NA,Kepler
Kepler-1500 b,Transit,2016,1,1.2,NA,Kepler
Kepler-1501 b,Transit,2016,1,1.56,NA,Kepler
Kepler-1502 b,Transit,2016,1,3.18,NA,Kepler
Kepler-1503 b,Transit,2016,1,2.27,NA,Kepler
Kepler-1504 b,Transit,2016,1,2.13,NA,Kepler
Kepler-1505 b,Transit,2016,1,0.93,NA,Kepler
Kepler-1506 b,Transit,2016,1,1.32,NA,Kepler
Kepler-1507 b,Transit,2016,1,0.84,NA,Kepler
Kepler-1508 b,Transit,2016,1,1.33,NA,Kepler
Kepler-1509 b,Transit,2016,1,1.85,NA,Kepler
Kepler-151 b,Transit,2014,2,3.06,NA,Kepler
Kepler-151 c,Transit,2014,2,2.09,NA,Kepler
Kepler-1510 b,Transit,2016,1,3.36,NA,Kepler
Kepler-1511 b,Transit,2016,1,1.68,NA,Kepler
Kepler-1512 b,Transit,2016,1,1.18,NA,Kepler
Kepler-1513 b,Transit,2016,1,8.46,NA,Kepler
Kepler-1514 b,Transit,2016,2,11.82,NA,Kepler
Kepler-1514 c,Transit,2020,2,1.32,NA,Kepler
Kepler-1515 b,Transit,2016,1,9.55,NA,Kepler
Kepler-1516 b,Transit,2016,1,1.75,NA,Kepler
Kepler-1517 b,Transit,2016,1,9.76,NA,Kepler
Kepler-1518 b,Transit,2016,1,3.05,NA,Kepler
Kepler-1519 b,Transit,2016,1,7.06,NA,Kepler
Kepler-152 b,Transit,2014,2,2.79,NA,Kepler
Kepler-152 c,Transit,2014,2,2.39,NA,Kepler
Kepler-1520 b,Transit,2016,1,5.77,NA,Kepler
Kepler-1521 b,Transit,2016,1,2.5,NA,Kepler
Kepler-1522 b,Transit,2016,1,1.73,NA,Kepler
Kepler-1523 b,Transit,2016,1,1.58,NA,Kepler
Kepler-1524 b,Transit,2016,1,3.54,NA,Kepler
Kepler-1525 b,Transit,2016,1,0.91,NA,Kepler
Kepler-1526 b,Transit,2016,1,2.43,NA,Kepler
Kepler-1527 b,Transit,2016,1,4.77,NA,Kepler
Kepler-1528 b,Transit,2016,1,1.46,NA,Kepler
Kepler-1529 b,Transit,2016,1,2.1,NA,Kepler
Kepler-153 b,Transit,2014,2,2.92,NA,Kepler
Kepler-153 c,Transit,2014,2,2.53,NA,Kepler
Kepler-1530 b,Transit,2016,2,1.64,NA,Kepler
Kepler-1530 c,Transit,2016,2,1.65,NA,Kepler
Kepler-1531 b,Transit,2016,1,1.11,NA,Kepler
Kepler-1532 b,Transit,2016,1,1.35,NA,Kepler
Kepler-1533 b,Transit,2016,1,3.46,NA,Kepler
Kepler-1534 b,Transit,2016,1,1.89,NA,Kepler
Kepler-1535 b,Transit,2016,1,2.55,NA,Kepler
Kepler-1536 b,Transit,2016,1,3.14,NA,Kepler
Kepler-1537 b,Transit,2016,1,1.18,NA,Kepler
Kepler-1538 b,Transit,2016,1,2.82,NA,Kepler
Kepler-1539 b,Transit,2016,1,2.7,NA,Kepler
Kepler-154 b,Transit,2014,5,2.26,NA,Kepler
Kepler-154 c,Transit,2014,5,2.95,NA,Kepler
Kepler-154 d,Transit,2016,5,3.84,NA,Kepler
Kepler-154 e,Transit,2016,5,1.5,NA,Kepler
Kepler-154 f,Transit,2016,5,1.5,NA,Kepler
Kepler-1540 b,Transit,2016,1,2.49,NA,Kepler
Kepler-1541 b,Transit,2016,1,1.16,NA,Kepler
Kepler-1542 b,Transit,2016,4,0.76,NA,Kepler
Kepler-1542 c,Transit,2016,4,0.65,NA,Kepler
Kepler-1542 d,Transit,2016,4,0.87,NA,Kepler
Kepler-1542 e,Transit,2016,4,0.76,NA,Kepler
Kepler-1543 b,Transit,2016,1,2.71,NA,Kepler
Kepler-1544 b,Transit,2016,1,1.78,NA,Kepler
Kepler-1545 b,Transit,2016,1,2.7,NA,Kepler
Kepler-1546 b,Transit,2016,1,3.13,NA,Kepler
Kepler-1547 b,Transit,2016,1,0.9,NA,Kepler
Kepler-1548 b,Transit,2016,1,2.64,NA,Kepler
Kepler-1549 b,Transit,2016,1,2.57,NA,Kepler
Kepler-155 b,Transit,2014,2,2.09,NA,Kepler
Kepler-155 c,Transit,2014,2,2.24,NA,Kepler
Kepler-1550 b,Transit,2016,1,3.02,NA,Kepler
Kepler-1551 b,Transit,2016,1,2.66,NA,Kepler
Kepler-1552 b,Transit,2016,1,2.47,NA,Kepler
Kepler-1553 b,Transit,2016,1,1.15,NA,Kepler
Kepler-1554 b,Transit,2016,1,2.9,NA,Kepler
Kepler-1555 b,Transit,2016,1,1.61,NA,Kepler
Kepler-1556 b,Transit,2016,1,1.96,NA,Kepler
Kepler-1557 b,Transit,2016,1,1.53,NA,Kepler
Kepler-1558 b,Transit,2016,1,0.68,NA,Kepler
Kepler-1559 b,Transit,2016,1,0.72,NA,Kepler
Kepler-156 b,Transit,2014,2,2.3,NA,Kepler
Kepler-156 c,Transit,2014,2,2.55,NA,Kepler
Kepler-1560 b,Transit,2016,1,0.89,NA,Kepler
Kepler-1561 b,Transit,2016,1,1.09,NA,Kepler
Kepler-1562 b,Transit,2016,1,3.55,NA,Kepler
Kepler-1563 b,Transit,2016,1,0.75,NA,Kepler
Kepler-1564 b,Transit,2016,1,1.47,NA,Kepler
Kepler-1565 b,Transit,2016,1,1.19,NA,Kepler
Kepler-1566 b,Transit,2016,1,0.79,NA,Kepler
Kepler-1567 b,Transit,2016,1,2.73,NA,Kepler
Kepler-1568 b,Transit,2016,1,1.3,NA,Kepler
Kepler-1569 b,Transit,2016,1,1.68,NA,Kepler
Kepler-157 b,Transit,2014,3,1.32,NA,Kepler
Kepler-157 c,Transit,2014,3,2.24,NA,Kepler
Kepler-157 d,Transit,2016,3,1.46,NA,Kepler
Kepler-1570 b,Transit,2016,1,1.07,NA,Kepler
Kepler-1571 b,Transit,2016,1,1.52,NA,Kepler
Kepler-1572 b,Transit,2016,1,0.94,NA,Kepler
Kepler-1573 b,Transit,2016,1,1.2,NA,Kepler
Kepler-1574 b,Transit,2016,1,1.29,NA,Kepler
Kepler-1575 b,Transit,2016,1,1.31,NA,Kepler
Kepler-1576 b,Transit,2016,1,1.04,NA,Kepler
Kepler-1577 b,Transit,2016,1,1.13,NA,Kepler
Kepler-1578 b,Transit,2016,1,1.04,NA,Kepler
Kepler-1579 b,Transit,2016,1,0.84,NA,Kepler
Kepler-158 b,Transit,2014,2,2.12,NA,Kepler
Kepler-158 c,Transit,2014,2,1.9,NA,Kepler
Kepler-1580 b,Transit,2016,1,2.11,NA,Kepler
Kepler-1581 b,Transit,2016,1,0.8,NA,Kepler
Kepler-1582 b,Transit,2016,1,1.49,NA,Kepler
Kepler-1583 b,Transit,2016,1,0.6,NA,Kepler
Kepler-1584 b,Transit,2016,1,1.61,NA,Kepler
Kepler-1585 b,Transit,2016,1,1.79,NA,Kepler
Kepler-1586 b,Transit,2016,1,1.52,NA,Kepler
Kepler-1587 b,Transit,2016,1,1.33,NA,Kepler
Kepler-1588 b,Transit,2016,1,0.76,NA,Kepler
Kepler-1589 b,Transit,2016,1,1.09,NA,Kepler
Kepler-159 b,Transit,2014,2,2.38,NA,Kepler
Kepler-159 c,Transit,2014,2,3.41,NA,Kepler
Kepler-1590 b,Transit,2016,1,1.14,NA,Kepler
Kepler-1591 b,Transit,2016,1,1.27,NA,Kepler
Kepler-1592 b,Transit,2016,1,1.54,NA,Kepler
Kepler-1593 b,Transit,2016,1,3.17,NA,Kepler
Kepler-1594 b,Transit,2016,1,1.06,NA,Kepler
Kepler-1595 b,Transit,2016,1,1.23,NA,Kepler
Kepler-1596 b,Transit,2016,1,1.9,NA,Kepler
Kepler-1597 b,Transit,2016,1,1.06,NA,Kepler
Kepler-1598 b,Transit,2016,1,0.95,NA,Kepler
Kepler-1599 b,Transit,2016,1,1.62,NA,Kepler
Kepler-16 b,Transit,2011,1,8.449,105.833,Kepler
Kepler-160 b,Transit,2014,3,1.715,NA,Kepler
Kepler-160 c,Transit,2014,3,3.76,NA,Kepler
Kepler-160 d,Transit Timing Variations,2020,3,NA,100,Kepler
Kepler-1600 b,Transit,2016,1,3.13,NA,Kepler
Kepler-1601 b,Transit,2016,1,0.82,NA,Kepler
Kepler-1602 b,Transit,2016,1,1.34,NA,Kepler
Kepler-1603 b,Transit,2016,1,1.29,NA,Kepler
Kepler-1604 b,Transit,2016,1,1.41,NA,Kepler
Kepler-1605 b,Transit,2016,1,1.08,NA,Kepler
Kepler-1606 b,Transit,2016,1,2.07,NA,Kepler
Kepler-1607 b,Transit,2016,1,0.92,NA,Kepler
Kepler-1608 b,Transit,2016,1,1.73,NA,Kepler
Kepler-1609 b,Transit,2016,1,2.22,NA,Kepler
Kepler-161 b,Transit,2014,2,2.12,NA,Kepler
Kepler-161 c,Transit,2014,2,2.05,NA,Kepler
Kepler-1610 b,Transit,2016,1,1.61,NA,Kepler
Kepler-1611 b,Transit,2016,1,0.81,NA,Kepler
Kepler-1612 b,Transit,2016,1,1.03,NA,Kepler
Kepler-1613 b,Transit,2016,1,2.08,NA,Kepler
Kepler-1614 b,Transit,2016,1,1.49,NA,Kepler
Kepler-1615 b,Transit,2016,1,2.06,NA,Kepler
Kepler-1616 b,Transit,2016,1,1.02,NA,Kepler
Kepler-1617 b,Transit,2016,1,1.2,NA,Kepler
Kepler-1618 b,Transit,2016,1,1.26,NA,Kepler
Kepler-1619 b,Transit,2016,1,0.76,NA,Kepler
Kepler-162 b,Transit,2014,2,1.26,NA,Kepler
Kepler-162 c,Transit,2014,2,3.03,NA,Kepler
Kepler-1620 b,Transit,2016,1,1.61,NA,Kepler
Kepler-1621 b,Transit,2016,1,2.16,NA,Kepler
Kepler-1622 b,Transit,2016,1,1.47,NA,Kepler
Kepler-1623 b,Transit,2016,1,1.31,NA,Kepler
Kepler-1624 b,Transit,2016,1,5.7,NA,Kepler
Kepler-1625 b,Transit,2016,1,6.06,NA,Kepler
Kepler-1626 b,Transit,2016,1,2.02,NA,Kepler
Kepler-1627 b,Transit,2016,1,3.69,NA,Kepler
Kepler-1628 b,Transit,2016,1,6.43,NA,Kepler
Kepler-1629 b,Transit,2016,1,0.77,NA,Kepler
Kepler-163 b,Transit,2014,2,1.05,NA,Kepler
Kepler-163 c,Transit,2014,2,2.26,NA,Kepler
Kepler-1630 b,Transit,2016,1,2.19,NA,Kepler
Kepler-1631 b,Transit,2016,1,1.35,NA,Kepler
Kepler-1632 b,Transit,2016,1,2.47,NA,Kepler
Kepler-1633 b,Transit,2016,1,1.58,NA,Kepler
Kepler-1634 b,Transit,2016,1,3.19,NA,Kepler
Kepler-1635 b,Transit,2016,1,3.64,NA,Kepler
Kepler-1636 b,Transit,2016,1,3.23,NA,Kepler
Kepler-1637 b,Transit,2016,1,0.89,NA,Kepler
Kepler-1638 b,Transit,2016,1,1.87,NA,Kepler
Kepler-1639 b,Transit,2016,1,2.58,NA,Kepler
Kepler-164 b,Transit,2014,3,1.41,NA,Kepler
Kepler-164 c,Transit,2014,3,2.73,NA,Kepler
Kepler-164 d,Transit,2014,3,2.45,NA,Kepler
Kepler-1640 b,Transit,2016,1,4.82,NA,Kepler
Kepler-1641 b,Transit,2016,2,3.11,NA,Kepler
Kepler-1641 c,Transit,2016,2,2.95,NA,Kepler
Kepler-1642 b,Transit,2016,2,3.2,NA,Kepler
Kepler-1642 c,Transit,2016,2,2.66,NA,Kepler
Kepler-1643 b,Transit,2016,1,2.3,NA,Kepler
Kepler-1644 b,Transit,2016,1,1.88,NA,Kepler
Kepler-1645 b,Transit,2016,1,1.78,NA,Kepler
Kepler-1646 b,Transit,2016,1,1.23,NA,Kepler
Kepler-1647 b,Transit,2016,1,11.874,483,Kepler
Kepler-1649 b,Transit,2017,2,1.017,NA,Kepler
Kepler-1649 c,Transit,2020,2,1.06,NA,Kepler
Kepler-165 b,Transit,2014,2,2.32,NA,Kepler
Kepler-165 c,Transit,2014,2,2.23,NA,Kepler
Kepler-1650 b,Transit,2017,1,0.96,NA,Kepler
Kepler-1651 b,Transit,2017,1,1.84,NA,Kepler
Kepler-1652 b,Transit,2017,1,1.6,NA,Kepler
Kepler-1653 b,Transit,2017,1,2.17,NA,Kepler
Kepler-1654 b,Transit,2018,1,9.18,158.915,Kepler
Kepler-1655 b,Transit,2018,1,2.213,5,Kepler
Kepler-1656 b,Transit,2018,1,5.02,48.6,Kepler
Kepler-1658 b,Transit,2019,1,11.994,1868.8404,Kepler
Kepler-166 b,Transit,2014,3,2.27,NA,Kepler
Kepler-166 c,Transit,2014,3,2.38,NA,Kepler
Kepler-166 d,Transit,2016,3,1.73,NA,Kepler
Kepler-1661 b,Transit,2020,1,3.87,17,Kepler
Kepler-1663 b,Transit,2020,1,3.304,NA,Kepler
Kepler-1664 b,Transit,2020,1,3.033,NA,Kepler
Kepler-1665 b,Transit,2020,1,2.839,NA,Kepler
Kepler-1666 b,Transit,2020,2,2.883,NA,Kepler
Kepler-1666 c,Transit,2020,2,3.236,NA,Kepler
Kepler-1667 b,Transit,2020,1,2.984,NA,Kepler
Kepler-1668 b,Transit,2020,1,4.348,NA,Kepler
Kepler-1669 b,Transit,2020,1,2.78,NA,Kepler
Kepler-167 b,Transit,2014,4,1.615,NA,Kepler
Kepler-167 c,Transit,2014,4,1.548,NA,Kepler
Kepler-167 d,Transit,2016,4,1.194,NA,Kepler
Kepler-167 e,Transit,2016,4,10.15,NA,Kepler
Kepler-1670 b,Transit,2020,1,3.356,NA,Kepler
Kepler-1671 b,Transit,2020,1,1.326,NA,Kepler
Kepler-1672 b,Transit,2020,1,2.97,NA,Kepler
Kepler-1673 b,Transit,2020,1,2.936,NA,Kepler
Kepler-1674 b,Transit,2020,1,3.206,NA,Kepler
Kepler-1675 b,Transit,2020,1,3.125,NA,Kepler
Kepler-1676 b,Transit,2020,1,3.377,NA,Kepler
Kepler-1677 b,Transit,2020,1,2.702,NA,Kepler
Kepler-1678 b,Transit,2020,1,3.304,NA,Kepler
Kepler-1679 b,Transit,2020,1,2.069,NA,Kepler
Kepler-168 b,Transit,2014,2,1.46,NA,Kepler
Kepler-168 c,Transit,2014,2,2.69,NA,Kepler
Kepler-1680 b,Transit,2020,1,1.36,NA,Kepler
Kepler-1681 b,Transit,2020,1,2.553,NA,Kepler
Kepler-1682 b,Transit,2020,1,2.889,NA,Kepler
Kepler-1683 b,Transit,2020,1,1.875,NA,Kepler
Kepler-1684 b,Transit,2020,1,2.871,NA,Kepler
Kepler-1685 b,Transit,2020,1,2.577,NA,Kepler
Kepler-1686 b,Transit,2020,1,1.426,NA,Kepler
Kepler-1687 b,Transit,2020,1,1.656,NA,Kepler
Kepler-1688 b,Transit,2020,1,1.262,NA,Kepler
Kepler-1689 b,Transit,2020,1,0.947,NA,Kepler
Kepler-169 b,Transit,2014,5,1.13,NA,Kepler
Kepler-169 c,Transit,2014,5,1.21,NA,Kepler
Kepler-169 d,Transit,2014,5,1.25,NA,Kepler
Kepler-169 e,Transit,2014,5,2.2,NA,Kepler
Kepler-169 f,Transit,2014,5,2.58,NA,Kepler
Kepler-1690 b,Transit,2020,1,2.811,NA,Kepler
Kepler-1691 b,Transit,2020,1,1.835,NA,Kepler
Kepler-1692 b,Transit,2020,1,1.112,NA,Kepler
Kepler-1693 b,Transit,2020,1,1.289,NA,Kepler
Kepler-1694 b,Transit,2020,1,1.18,NA,Kepler
Kepler-1695 b,Transit,2020,1,1.119,NA,Kepler
Kepler-1696 b,Transit,2020,1,2.81,NA,Kepler
Kepler-1697 b,Transit,2020,1,1.26,NA,Kepler
Kepler-1698 b,Transit,2020,1,1.073,NA,Kepler
Kepler-1699 b,Transit,2020,1,1.567,NA,Kepler
Kepler-17 b,Transit,2011,1,14.68,778.65,Kepler
Kepler-170 b,Transit,2014,2,3.2,NA,Kepler
Kepler-170 c,Transit,2014,2,2.86,NA,Kepler
Kepler-1700 b,Transit,2020,1,2.901,NA,Kepler
Kepler-1701 b,Transit,2020,1,2.222,NA,Kepler
Kepler-1702 b,Transit,2020,1,1.602,NA,Kepler
Kepler-171 b,Transit,2014,3,2.34,NA,Kepler
Kepler-171 c,Transit,2014,3,2.56,NA,Kepler
Kepler-171 d,Transit,2014,3,1.89,NA,Kepler
Kepler-172 b,Transit,2014,4,2.35,NA,Kepler
Kepler-172 c,Transit,2014,4,2.86,NA,Kepler
Kepler-172 d,Transit,2014,4,2.25,NA,Kepler
Kepler-172 e,Transit,2014,4,2.76,NA,Kepler
Kepler-173 b,Transit,2014,2,1.29,NA,Kepler
Kepler-173 c,Transit,2014,2,2.43,NA,Kepler
